Seqno,RecvTime,U1,I1,U2,I2,U3,I3
5958,1743738062526631,307.765,13.988,-114.346,-5.195,-193.418,-8.793
5959,1743738062526636,309.637,14.076,-128.400,-5.837,-181.215,-8.239
5960,1743738062526641,310.756,14.127,-142.153,-6.461,-168.603,-7.661
5961,1743738062526647,311.122,14.141,-155.561,-7.070,-155.561,-7.070
5962,1743738062526652,310.756,14.127,-168.603,-7.661,-142.153,-6.461
5963,1743738062526657,309.637,14.076,-181.215,-8.239,-128.400,-5.837
5964,1743738062526663,307.765,13.988,-193.418,-8.793,-114.346,-5.195
5965,1743738062526668,305.139,13.873,-205.148,-9.324,-100.013,-4.544
5966,1743738062526673,301.803,13.720,-216.361,-9.836,-85.442,-3.884
5967,1743738062526678,297.735,13.531,-227.079,-10.321,-70.657,-3.210
5968,1743738062526684,292.936,13.314,-237.237,-10.783,-55.699,-2.531
5969,1743738062526689,287.448,13.064,-246.836,-11.222,-40.612,-1.847
5970,1743738062526695,281.249,12.783,-255.832,-11.628,-25.417,-1.155
5971,1743738062526700,274.384,12.473,-264.204,-12.012,-10.180,-0.462
5972,1743738062526706,266.873,12.132,-271.952,-12.363,5.101,0.231
5973,1743738062526711,258.694,11.758,-279.033,-12.686,20.338,0.924
5974,1743738062526717,249.892,11.360,-285.468,-12.977,35.554,1.616
5975,1743738062526722,240.508,10.931,-291.193,-13.235,50.684,2.304
5976,1743738062526728,230.522,10.478,-296.207,-13.466,65.685,2.983
5977,1743738062526733,219.998,9.998,-300.533,-13.660,80.535,3.662
5978,1743738062526738,208.936,9.499,-304.106,-13.822,95.170,4.327
5979,1743738062526744,197.378,8.973,-306.968,-13.951,109.590,4.983
5980,1743738062526751,185.347,8.423,-309.099,-14.048,123.752,5.625
5981,1743738062526758,172.843,7.855,-310.455,-14.113,137.612,6.253
5982,1743738062526764,159.952,7.269,-311.079,-14.141,151.127,6.872
5983,1743738062526770,146.672,6.668,-310.950,-14.136,164.299,7.467
5984,1743738062526777,133.027,6.045,-310.089,-14.094,177.061,8.049
5985,1743738062526783,119.060,5.412,-308.475,-14.020,189.394,8.608
5986,1743738062526790,104.812,4.766,-306.107,-13.914,201.295,9.148
5987,1743738062526797,90.306,4.105,-303.008,-13.771,212.680,9.666
5988,1743738062526803,75.607,3.436,-299.177,-13.600,223.571,10.164
5989,1743738062526809,60.692,2.757,-294.615,-13.392,233.923,10.631
5990,1743738062526816,45.648,2.074,-289.363,-13.152,243.694,11.079
5991,1743738062526822,30.497,1.385,-283.402,-12.880,252.905,11.494
5992,1743738062526828,15.259,0.693,-276.751,-12.580,261.492,11.887
5993,1743738062526833,0.000,0.000,-269.434,-12.247,269.434,12.247
5994,1743738062526839,-15.259,-0.693,-261.492,-11.887,276.751,12.580
5995,1743738062526844,-30.497,-1.385,-252.905,-11.494,283.402,12.880
5996,1743738062526852,-45.648,-2.074,-243.694,-11.079,289.363,13.152
5997,1743738062526858,-60.692,-2.757,-233.923,-10.631,294.615,13.392
5998,1743738062526863,-75.607,-3.436,-223.571,-10.164,299.177,13.600
5999,1743738062526869,-90.306,-4.105,-212.680,-9.666,303.008,13.771
6000,1743738062526874,-104.812,-4.766,-201.295,-9.148,306.107,13.914
6001,1743738062526879,-119.060,-5.412,-189.394,-8.608,308.475,14.020
6002,1743738062526884,-133.027,-6.045,-177.061,-8.049,310.089,14.094
6003,1743738062526890,-146.672,-6.668,-164.299,-7.467,310.950,14.136
6004,1743738062526895,-159.952,-7.269,-151.127,-6.872,311.079,14.141
6005,1743738062526900,-172.843,-7.855,-137.612,-6.253,310.455,14.113
6006,1743738062526906,-185.347,-8.423,-123.752,-5.625,309.099,14.048
6007,1743738062526911,-197.378,-8.973,-109.590,-4.983,306.968,13.951
6008,1743738062526916,-208.936,-9.499,-95.170,-4.327,304.106,13.822
6009,1743738062526921,-219.998,-9.998,-80.535,-3.662,300.533,13.660
6010,1743738062526927,-230.522,-10.478,-65.685,-2.983,296.207,13.466
6011,1743738062526932,-240.508,-10.931,-50.684,-2.304,291.193,13.235
6012,1743738062526938,-249.892,-11.360,-35.554,-1.616,285.468,12.977
6013,1743738062526943,-258.694,-11.758,-20.338,-0.924,279.033,12.686
6014,1743738062526949,-266.873,-12.132,-5.101,-0.231,271.952,12.363
6015,1743738062526954,-274.384,-12.473,10.180,0.462,264.204,12.012
6016,1743738062526959,-281.249,-12.783,25.417,1.155,255.832,11.628
6017,1743738062526965,-287.448,-13.064,40.612,1.847,246.836,11.222
6018,1743738062526970,-292.936,-13.314,55.699,2.531,237.237,10.783
6019,1743738062526976,-297.735,-13.531,70.657,3.210,227.079,10.321
6020,1743738062526981,-301.803,-13.720,85.442,3.884,216.361,9.836
6021,1743738062526987,-305.139,-13.873,100.013,4.544,205.148,9.324
6022,1743738062526992,-307.765,-13.988,114.346,5.195,193.418,8.793
6023,1743738062526997,-309.637,-14.076,128.400,5.837,181.215,8.239
6024,1743738062527003,-310.756,-14.127,142.153,6.461,168.603,7.661
6025,1743738062527008,-311.122,-14.141,155.561,7.070,155.561,7.070
6026,1743738062527012,-310.756,-14.127,168.603,7.661,142.153,6.461
6027,1743738062527017,-309.637,-14.076,181.215,8.239,128.400,5.837
6028,1743738062527022,-307.765,-13.988,193.418,8.793,114.346,5.195
6029,1743738062527027,-305.139,-13.873,205.148,9.324,100.013,4.544
6030,1743738062527032,-301.803,-13.720,216.361,9.836,85.442,3.884
6031,1743738062547098,-297.735,-13.531,227.079,10.321,70.657,3.210
6032,1743738062547124,-292.936,-13.314,237.237,10.783,55.699,2.531
6033,1743738062547129,-287.448,-13.064,246.836,11.222,40.612,1.847
6034,1743738062547133,-281.249,-12.783,255.832,11.628,25.417,1.155
6035,1743738062547136,-274.384,-12.473,264.204,12.012,10.180,0.462
6036,1743738062547140,-266.873,-12.132,271.952,12.363,-5.101,-0.231
6037,1743738062547144,-258.694,-11.758,279.033,12.686,-20.338,-0.924
6038,1743738062547148,-249.892,-11.360,285.468,12.977,-35.554,-1.616
6039,1743738062547152,-240.508,-10.931,291.193,13.235,-50.684,-2.304
6040,1743738062547156,-230.522,-10.478,296.207,13.466,-65.685,-2.983
6041,1743738062547159,-219.998,-9.998,300.533,13.660,-80.535,-3.662
6042,1743738062547163,-208.936,-9.499,304.106,13.822,-95.170,-4.327
6043,1743738062547167,-197.378,-8.973,306.968,13.951,-109.590,-4.983
6044,1743738062547170,-185.347,-8.423,309.099,14.048,-123.752,-5.625
6045,1743738062547174,-172.843,-7.855,310.455,14.113,-137.612,-6.253
6046,1743738062547177,-159.952,-7.269,311.079,14.141,-151.127,-6.872
6047,1743738062547180,-146.672,-6.668,310.950,14.136,-164.299,-7.467
6048,1743738062547184,-133.027,-6.045,310.089,14.094,-177.061,-8.049
6049,1743738062547187,-119.060,-5.412,308.475,14.020,-189.394,-8.608
6050,1743738062547191,-104.812,-4.766,306.107,13.914,-201.295,-9.148
6051,1743738062547194,-90.306,-4.105,303.008,13.771,-212.680,-9.666
6052,1743738062547197,-75.607,-3.436,299.177,13.600,-223.571,-10.164
6053,1743738062547201,-60.692,-2.757,294.615,13.392,-233.923,-10.631
6054,1743738062547205,-45.648,-2.074,289.363,13.152,-243.694,-11.079
6055,1743738062547208,-30.497,-1.385,283.402,12.880,-252.905,-11.494
6056,1743738062547212,-15.259,-0.693,276.751,12.580,-261.492,-11.887
6057,1743738062547225,0.000,0.000,269.434,12.247,-269.434,-12.247
6058,1743738062547229,15.259,0.693,261.492,11.887,-276.751,-12.580
6059,1743738062547232,30.497,1.385,252.905,11.494,-283.402,-12.880
6060,1743738062547236,45.648,2.074,243.694,11.079,-289.363,-13.152
6061,1743738062547239,60.692,2.757,233.923,10.631,-294.615,-13.392
6062,1743738062547243,75.607,3.436,223.571,10.164,-299.177,-13.600
6063,1743738062547246,90.306,4.105,212.680,9.666,-303.008,-13.771
6064,1743738062547250,104.812,4.766,201.295,9.148,-306.107,-13.914
6065,1743738062547253,119.060,5.412,189.394,8.608,-308.475,-14.020
6066,1743738062547256,133.027,6.045,177.061,8.049,-310.089,-14.094
6067,1743738062547260,146.672,6.668,164.299,7.467,-310.950,-14.136
6068,1743738062547263,159.952,7.269,151.127,6.872,-311.079,-14.141
6069,1743738062547267,172.843,7.855,137.612,6.253,-310.455,-14.113
6070,1743738062547270,185.347,8.423,123.752,5.625,-309.099,-14.048
6071,1743738062547273,197.378,8.973,109.590,4.983,-306.968,-13.951
6072,1743738062547277,208.936,9.499,95.170,4.327,-304.106,-13.822
6073,1743738062547280,219.998,9.998,80.535,3.662,-300.533,-13.660
6074,1743738062547283,230.522,10.478,65.685,2.983,-296.207,-13.466
6075,1743738062547287,240.508,10.931,50.684,2.304,-291.193,-13.235
6076,1743738062547290,249.892,11.360,35.554,1.616,-285.468,-12.977
6077,1743738062547294,258.694,11.758,20.338,0.924,-279.033,-12.686
6078,1743738062547298,266.873,12.132,5.101,0.231,-271.952,-12.363
6079,1743738062547301,274.384,12.473,-10.180,-0.462,-264.204,-12.012
6080,1743738062547305,281.249,12.783,-25.417,-1.155,-255.832,-11.628
6081,1743738062547308,287.448,13.064,-40.612,-1.847,-246.836,-11.222
6082,1743738062547312,292.936,13.314,-55.699,-2.531,-237.237,-10.783
6083,1743738062547315,297.735,13.531,-70.657,-3.210,-227.079,-10.321
6084,1743738062547319,301.803,13.720,-85.442,-3.884,-216.361,-9.836
6085,1743738062547322,305.139,13.873,-100.013,-4.544,-205.148,-9.324
6086,1743738062547326,307.765,13.988,-114.346,-5.195,-193.418,-8.793
6087,1743738062547329,309.637,14.076,-128.400,-5.837,-181.215,-8.239
6088,1743738062547333,310.756,14.127,-142.153,-6.461,-168.603,-7.661
6089,1743738062547336,311.122,14.141,-155.561,-7.070,-155.561,-7.070
6090,1743738062547339,310.756,14.127,-168.603,-7.661,-142.153,-6.461
6091,1743738062547343,309.637,14.076,-181.215,-8.239,-128.400,-5.837
6092,1743738062547346,307.765,13.988,-193.418,-8.793,-114.346,-5.195
6093,1743738062547349,305.139,13.873,-205.148,-9.324,-100.013,-4.544
6094,1743738062547353,301.803,13.720,-216.361,-9.836,-85.442,-3.884
6095,1743738062547356,297.735,13.531,-227.079,-10.321,-70.657,-3.210
6096,1743738062547360,292.936,13.314,-237.237,-10.783,-55.699,-2.531
6097,1743738062547363,287.448,13.064,-246.836,-11.222,-40.612,-1.847
6098,1743738062547367,281.249,12.783,-255.832,-11.628,-25.417,-1.155
6099,1743738062547370,274.384,12.473,-264.204,-12.012,-10.180,-0.462
6100,1743738062547374,266.873,12.132,-271.952,-12.363,5.101,0.231
6101,1743738062547377,258.694,11.758,-279.033,-12.686,20.338,0.924
6102,1743738062547381,249.892,11.360,-285.468,-12.977,35.554,1.616
6103,1743738062547384,240.508,10.931,-291.193,-13.235,50.684,2.304
6104,1743738062547388,230.522,10.478,-296.207,-13.466,65.685,2.983
6105,1743738062547391,219.998,9.998,-300.533,-13.660,80.535,3.662
6106,1743738062547395,208.936,9.499,-304.106,-13.822,95.170,4.327
6107,1743738062547398,197.378,8.973,-306.968,-13.951,109.590,4.983
6108,1743738062547402,185.347,8.423,-309.099,-14.048,123.752,5.625
6109,1743738062547405,172.843,7.855,-310.455,-14.113,137.612,6.253
6110,1743738062547408,159.952,7.269,-311.079,-14.141,151.127,6.872
6111,1743738062547412,146.672,6.668,-310.950,-14.136,164.299,7.467
6112,1743738062547415,133.027,6.045,-310.089,-14.094,177.061,8.049
6113,1743738062547418,119.060,5.412,-308.475,-14.020,189.394,8.608
6114,1743738062547422,104.812,4.766,-306.107,-13.914,201.295,9.148
6115,1743738062547425,90.306,4.105,-303.008,-13.771,212.680,9.666
6116,1743738062547428,75.607,3.436,-299.177,-13.600,223.571,10.164
6117,1743738062547440,60.692,2.757,-294.615,-13.392,233.923,10.631
6118,1743738062547446,45.648,2.074,-289.363,-13.152,243.694,11.079
6119,1743738062547450,30.497,1.385,-283.402,-12.880,252.905,11.494
6120,1743738062547453,15.259,0.693,-276.751,-12.580,261.492,11.887
6121,1743738062547457,0.000,0.000,-269.434,-12.247,269.434,12.247
6122,1743738062547460,-15.259,-0.693,-261.492,-11.887,276.751,12.580
6123,1743738062547464,-30.497,-1.385,-252.905,-11.494,283.402,12.880
6124,1743738062547468,-45.648,-2.074,-243.694,-11.079,289.363,13.152
6125,1743738062547471,-60.692,-2.757,-233.923,-10.631,294.615,13.392
6126,1743738062547475,-75.607,-3.436,-223.571,-10.164,299.177,13.600
6127,1743738062547478,-90.306,-4.105,-212.680,-9.666,303.008,13.771
6128,1743738062547482,-104.812,-4.766,-201.295,-9.148,306.107,13.914
6129,1743738062547485,-119.060,-5.412,-189.394,-8.608,308.475,14.020
6130,1743738062547489,-133.027,-6.045,-177.061,-8.049,310.089,14.094
6131,1743738062547492,-146.672,-6.668,-164.299,-7.467,310.950,14.136
6132,1743738062547495,-159.952,-7.269,-151.127,-6.872,311.079,14.141
6133,1743738062547499,-172.843,-7.855,-137.612,-6.253,310.455,14.113
6134,1743738062547502,-185.347,-8.423,-123.752,-5.625,309.099,14.048
6135,1743738062547506,-197.378,-8.973,-109.590,-4.983,306.968,13.951
6136,1743738062547509,-208.936,-9.499,-95.170,-4.327,304.106,13.822
6137,1743738062547512,-219.998,-9.998,-80.535,-3.662,300.533,13.660
6138,1743738062547516,-230.522,-10.478,-65.685,-2.983,296.207,13.466
6139,1743738062547519,-240.508,-10.931,-50.684,-2.304,291.193,13.235
6140,1743738062547523,-249.892,-11.360,-35.554,-1.616,285.468,12.977
6141,1743738062547526,-258.694,-11.758,-20.338,-0.924,279.033,12.686
6142,1743738062547530,-266.873,-12.132,-5.101,-0.231,271.952,12.363
6143,1743738062547533,-274.384,-12.473,10.180,0.462,264.204,12.012
6144,1743738062547537,-281.249,-12.783,25.417,1.155,255.832,11.628
6145,1743738062547548,-287.448,-13.064,40.612,1.847,246.836,11.222
6146,1743738062547552,-292.936,-13.314,55.699,2.531,237.237,10.783
6147,1743738062547556,-297.735,-13.531,70.657,3.210,227.079,10.321
6148,1743738062547559,-301.803,-13.720,85.442,3.884,216.361,9.836
6149,1743738062547562,-305.139,-13.873,100.013,4.544,205.148,9.324
6150,1743738062547566,-307.765,-13.988,114.346,5.195,193.418,8.793
6151,1743738062547569,-309.637,-14.076,128.400,5.837,181.215,8.239
6152,1743738062547573,-310.756,-14.127,142.153,6.461,168.603,7.661
6153,1743738062547576,-311.122,-14.141,155.561,7.070,155.561,7.070
6154,1743738062547579,-310.756,-14.127,168.603,7.661,142.153,6.461
6155,1743738062547583,-309.637,-14.076,181.215,8.239,128.400,5.837
6156,1743738062547586,-307.765,-13.988,193.418,8.793,114.346,5.195
6157,1743738062547589,-305.139,-13.873,205.148,9.324,100.013,4.544
6158,1743738062547593,-301.803,-13.720,216.361,9.836,85.442,3.884
6159,1743738062547596,-297.735,-13.531,227.079,10.321,70.657,3.210
6160,1743738062547600,-292.936,-13.314,237.237,10.783,55.699,2.531
6161,1743738062547603,-287.448,-13.064,246.836,11.222,40.612,1.847
6162,1743738062547607,-281.249,-12.783,255.832,11.628,25.417,1.155
6163,1743738062547610,-274.384,-12.473,264.204,12.012,10.180,0.462
6164,1743738062547614,-266.873,-12.132,271.952,12.363,-5.101,-0.231
6165,1743738062547617,-258.694,-11.758,279.033,12.686,-20.338,-0.924
6166,1743738062547621,-249.892,-11.360,285.468,12.977,-35.554,-1.616
6167,1743738062547624,-240.508,-10.931,291.193,13.235,-50.684,-2.304
6168,1743738062547628,-230.522,-10.478,296.207,13.466,-65.685,-2.983
6169,1743738062547631,-219.998,-9.998,300.533,13.660,-80.535,-3.662
6170,1743738062547635,-208.936,-9.499,304.106,13.822,-95.170,-4.327
6171,1743738062547638,-197.378,-8.973,306.968,13.951,-109.590,-4.983
6172,1743738062547641,-185.347,-8.423,309.099,14.048,-123.752,-5.625
6173,1743738062547645,-172.843,-7.855,310.455,14.113,-137.612,-6.253
6174,1743738062547648,-159.952,-7.269,311.079,14.141,-151.127,-6.872
6175,1743738062547651,-146.672,-6.668,310.950,14.136,-164.299,-7.467
6176,1743738062547655,-133.027,-6.045,310.089,14.094,-177.061,-8.049
6177,1743738062547660,-119.060,-5.412,308.475,14.020,-189.394,-8.608
6178,1743738062547664,-104.812,-4.766,306.107,13.914,-201.295,-9.148
6179,1743738062547667,-90.306,-4.105,303.008,13.771,-212.680,-9.666
6180,1743738062547671,-75.607,-3.436,299.177,13.600,-223.571,-10.164
6181,1743738062547674,-60.692,-2.757,294.615,13.392,-233.923,-10.631
6182,1743738062547678,-45.648,-2.074,289.363,13.152,-243.694,-11.079
6183,1743738062547681,-30.497,-1.385,283.402,12.880,-252.905,-11.494
6184,1743738062547685,-15.259,-0.693,276.751,12.580,-261.492,-11.887
6185,1743738062547688,0.000,0.000,269.434,12.247,-269.434,-12.247
6186,1743738062547692,15.259,0.693,261.492,11.887,-276.751,-12.580
6187,1743738062547695,30.497,1.385,252.905,11.494,-283.402,-12.880
6188,1743738062547699,45.648,2.074,243.694,11.079,-289.363,-13.152
6189,1743738062547702,60.692,2.757,233.923,10.631,-294.615,-13.392
6190,1743738062547706,75.607,3.436,223.571,10.164,-299.177,-13.600
6191,1743738062547709,90.306,4.105,212.680,9.666,-303.008,-13.771
6192,1743738062547713,104.812,4.766,201.295,9.148,-306.107,-13.914
6193,1743738062547716,119.060,5.412,189.394,8.608,-308.475,-14.020
6194,1743738062547719,133.027,6.045,177.061,8.049,-310.089,-14.094
6195,1743738062547723,146.672,6.668,164.299,7.467,-310.950,-14.136
6196,1743738062547726,159.952,7.269,151.127,6.872,-311.079,-14.141
6197,1743738062547729,172.843,7.855,137.612,6.253,-310.455,-14.113
6198,1743738062547733,185.347,8.423,123.752,5.625,-309.099,-14.048
6199,1743738062547736,197.378,8.973,109.590,4.983,-306.968,-13.951
6200,1743738062547740,208.936,9.499,95.170,4.327,-304.106,-13.822
6201,1743738062547743,219.998,9.998,80.535,3.662,-300.533,-13.660
6202,1743738062547746,230.522,10.478,65.685,2.983,-296.207,-13.466
6203,1743738062547750,240.508,10.931,50.684,2.304,-291.193,-13.235
6204,1743738062547753,249.892,11.360,35.554,1.616,-285.468,-12.977
6205,1743738062547757,258.694,11.758,20.338,0.924,-279.033,-12.686
6206,1743738062547760,266.873,12.132,5.101,0.231,-271.952,-12.363
6207,1743738062547764,274.384,12.473,-10.180,-0.462,-264.204,-12.012
6208,1743738062547767,281.249,12.783,-25.417,-1.155,-255.832,-11.628
6209,1743738062547771,287.448,13.064,-40.612,-1.847,-246.836,-11.222
6210,1743738062547774,292.936,13.314,-55.699,-2.531,-237.237,-10.783
6211,1743738062547778,297.735,13.531,-70.657,-3.210,-227.079,-10.321
6212,1743738062547781,301.803,13.720,-85.442,-3.884,-216.361,-9.836
6213,1743738062547785,305.139,13.873,-100.013,-4.544,-205.148,-9.324
6214,1743738062547788,307.765,13.988,-114.346,-5.195,-193.418,-8.793
6215,1743738062547792,309.637,14.076,-128.400,-5.837,-181.215,-8.239
6216,1743738062547795,310.756,14.127,-142.153,-6.461,-168.603,-7.661
6217,1743738062547798,311.122,14.141,-155.561,-7.070,-155.561,-7.070
6218,1743738062547802,310.756,14.127,-168.603,-7.661,-142.153,-6.461
6219,1743738062547805,309.637,14.076,-181.215,-8.239,-128.400,-5.837
6220,1743738062547808,307.765,13.988,-193.418,-8.793,-114.346,-5.195
6221,1743738062547812,305.139,13.873,-205.148,-9.324,-100.013,-4.544
6222,1743738062547815,301.803,13.720,-216.361,-9.836,-85.442,-3.884
6223,1743738062547818,297.735,13.531,-227.079,-10.321,-70.657,-3.210
6224,1743738062547822,292.936,13.314,-237.237,-10.783,-55.699,-2.531
6225,1743738062547825,287.448,13.064,-246.836,-11.222,-40.612,-1.847
6226,1743738062547829,281.249,12.783,-255.832,-11.628,-25.417,-1.155
6227,1743738062547832,274.384,12.473,-264.204,-12.012,-10.180,-0.462
6228,1743738062547836,266.873,12.132,-271.952,-12.363,5.101,0.231
6229,1743738062547839,258.694,11.758,-279.033,-12.686,20.338,0.924
6230,1743738062547843,249.892,11.360,-285.468,-12.977,35.554,1.616
6231,1743738062547846,240.508,10.931,-291.193,-13.235,50.684,2.304
6232,1743738062547850,230.522,10.478,-296.207,-13.466,65.685,2.983
6233,1743738062547853,219.998,9.998,-300.533,-13.660,80.535,3.662
6234,1743738062547857,208.936,9.499,-304.106,-13.822,95.170,4.327
6235,1743738062547860,197.378,8.973,-306.968,-13.951,109.590,4.983
6236,1743738062547863,185.347,8.423,-309.099,-14.048,123.752,5.625
6237,1743738062547867,172.843,7.855,-310.455,-14.113,137.612,6.253
6238,1743738062547872,159.952,7.269,-311.079,-14.141,151.127,6.872
6239,1743738062547875,146.672,6.668,-310.950,-14.136,164.299,7.467
6240,1743738062547879,133.027,6.045,-310.089,-14.094,177.061,8.049
6241,1743738062547882,119.060,5.412,-308.475,-14.020,189.394,8.608
6242,1743738062547885,104.812,4.766,-306.107,-13.914,201.295,9.148
6243,1743738062547889,90.306,4.105,-303.008,-13.771,212.680,9.666
6244,1743738062547892,75.607,3.436,-299.177,-13.600,223.571,10.164
6245,1743738062547896,60.692,2.757,-294.615,-13.392,233.923,10.631
6246,1743738062547899,45.648,2.074,-289.363,-13.152,243.694,11.079
6247,1743738062547903,30.497,1.385,-283.402,-12.880,252.905,11.494
6248,1743738062547906,15.259,0.693,-276.751,-12.580,261.492,11.887
6249,1743738062547910,0.000,0.000,-269.434,-12.247,269.434,12.247
6250,1743738062547913,-15.259,-0.693,-261.492,-11.887,276.751,12.580
6251,1743738062547917,-30.497,-1.385,-252.905,-11.494,283.402,12.880
6252,1743738062547920,-45.648,-2.074,-243.694,-11.079,289.363,13.152
6253,1743738062547924,-60.692,-2.757,-233.923,-10.631,294.615,13.392
6254,1743738062547927,-75.607,-3.436,-223.571,-10.164,299.177,13.600
6255,1743738062547931,-90.306,-4.105,-212.680,-9.666,303.008,13.771
6256,1743738062547934,-104.812,-4.766,-201.295,-9.148,306.107,13.914
6257,1743738062547938,-119.060,-5.412,-189.394,-8.608,308.475,14.020
6258,1743738062547941,-133.027,-6.045,-177.061,-8.049,310.089,14.094
6259,1743738062547944,-146.672,-6.668,-164.299,-7.467,310.950,14.136
6260,1743738062547948,-159.952,-7.269,-151.127,-6.872,311.079,14.141
6261,1743738062547951,-172.843,-7.855,-137.612,-6.253,310.455,14.113
6262,1743738062547954,-185.347,-8.423,-123.752,-5.625,309.099,14.048
6263,1743738062547958,-197.378,-8.973,-109.590,-4.983,306.968,13.951
6264,1743738062547961,-208.936,-9.499,-95.170,-4.327,304.106,13.822
6265,1743738062547964,-219.998,-9.998,-80.535,-3.662,300.533,13.660
6266,1743738062547968,-230.522,-10.478,-65.685,-2.983,296.207,13.466
6267,1743738062547971,-240.508,-10.931,-50.684,-2.304,291.193,13.235
6268,1743738062547975,-249.892,-11.360,-35.554,-1.616,285.468,12.977
6269,1743738062547978,-258.694,-11.758,-20.338,-0.924,279.033,12.686
6270,1743738062547982,-266.873,-12.132,-5.101,-0.231,271.952,12.363
6271,1743738062547985,-274.384,-12.473,10.180,0.462,264.204,12.012
6272,1743738062547989,-281.249,-12.783,25.417,1.155,255.832,11.628
6273,1743738062547992,-287.448,-13.064,40.612,1.847,246.836,11.222
6274,1743738062547996,-292.936,-13.314,55.699,2.531,237.237,10.783
6275,1743738062547999,-297.735,-13.531,70.657,3.210,227.079,10.321
6276,1743738062548003,-301.803,-13.720,85.442,3.884,216.361,9.836
6277,1743738062548006,-305.139,-13.873,100.013,4.544,205.148,9.324
6278,1743738062548010,-307.765,-13.988,114.346,5.195,193.418,8.793
6279,1743738062548013,-309.637,-14.076,128.400,5.837,181.215,8.239
6280,1743738062548016,-310.756,-14.127,142.153,6.461,168.603,7.661
6281,1743738062548020,-311.122,-14.141,155.561,7.070,155.561,7.070
6282,1743738062548023,-310.756,-14.127,168.603,7.661,142.153,6.461
6283,1743738062548026,-309.637,-14.076,181.215,8.239,128.400,5.837
6284,1743738062548030,-307.765,-13.988,193.418,8.793,114.346,5.195
6285,1743738062548033,-305.139,-13.873,205.148,9.324,100.013,4.544
6286,1743738062548036,-301.803,-13.720,216.361,9.836,85.442,3.884
6287,1743738062548040,-297.735,-13.531,227.079,10.321,70.657,3.210
6288,1743738062548043,-292.936,-13.314,237.237,10.783,55.699,2.531
6289,1743738062548047,-287.448,-13.064,246.836,11.222,40.612,1.847
6290,1743738062548050,-281.249,-12.783,255.832,11.628,25.417,1.155
6291,1743738062548054,-274.384,-12.473,264.204,12.012,10.180,0.462
6292,1743738062548057,-266.873,-12.132,271.952,12.363,-5.101,-0.231
6293,1743738062548061,-258.694,-11.758,279.033,12.686,-20.338,-0.924
6294,1743738062548064,-249.892,-11.360,285.468,12.977,-35.554,-1.616
6295,1743738062548068,-240.508,-10.931,291.193,13.235,-50.684,-2.304
6296,1743738062548071,-230.522,-10.478,296.207,13.466,-65.685,-2.983
6297,1743738062548075,-219.998,-9.998,300.533,13.660,-80.535,-3.662
6298,1743738062548080,-208.936,-9.499,304.106,13.822,-95.170,-4.327
6299,1743738062548083,-197.378,-8.973,306.968,13.951,-109.590,-4.983
6300,1743738062548087,-185.347,-8.423,309.099,14.048,-123.752,-5.625
6301,1743738062548090,-172.843,-7.855,310.455,14.113,-137.612,-6.253
6302,1743738062548093,-159.952,-7.269,311.079,14.141,-151.127,-6.872
6303,1743738062548097,-146.672,-6.668,310.950,14.136,-164.299,-7.467
6304,1743738062548100,-133.027,-6.045,310.089,14.094,-177.061,-8.049
6305,1743738062548103,-119.060,-5.412,308.475,14.020,-189.394,-8.608
6306,1743738062548107,-104.812,-4.766,306.107,13.914,-201.295,-9.148
6307,1743738062548110,-90.306,-4.105,303.008,13.771,-212.680,-9.666
6308,1743738062548113,-75.607,-3.436,299.177,13.600,-223.571,-10.164
6309,1743738062548117,-60.692,-2.757,294.615,13.392,-233.923,-10.631
6310,1743738062548120,-45.648,-2.074,289.363,13.152,-243.694,-11.079
6311,1743738062548124,-30.497,-1.385,283.402,12.880,-252.905,-11.494
6312,1743738062548128,-15.259,-0.693,276.751,12.580,-261.492,-11.887
6313,1743738062548131,0.000,0.000,269.434,12.247,-269.434,-12.247
6314,1743738062548135,15.259,0.693,261.492,11.887,-276.751,-12.580
6315,1743738062548138,30.497,1.385,252.905,11.494,-283.402,-12.880
6316,1743738062548142,45.648,2.074,243.694,11.079,-289.363,-13.152
6317,1743738062548145,60.692,2.757,233.923,10.631,-294.615,-13.392
6318,1743738062548149,75.607,3.436,223.571,10.164,-299.177,-13.600
6319,1743738062548152,90.306,4.105,212.680,9.666,-303.008,-13.771
6320,1743738062548155,104.812,4.766,201.295,9.148,-306.107,-13.914
6321,1743738062548159,119.060,5.412,189.394,8.608,-308.475,-14.020
6322,1743738062548162,133.027,6.045,177.061,8.049,-310.089,-14.094
6323,1743738062548166,146.672,6.668,164.299,7.467,-310.950,-14.136
6324,1743738062548169,159.952,7.269,151.127,6.872,-311.079,-14.141
6325,1743738062548172,172.843,7.855,137.612,6.253,-310.455,-14.113
6326,1743738062548178,185.347,8.423,123.752,5.625,-309.099,-14.048
6327,1743738062548181,197.378,8.973,109.590,4.983,-306.968,-13.951
6328,1743738062548184,208.936,9.499,95.170,4.327,-304.106,-13.822
6329,1743738062548188,219.998,9.998,80.535,3.662,-300.533,-13.660
6330,1743738062548191,230.522,10.478,65.685,2.983,-296.207,-13.466
6331,1743738062548194,240.508,10.931,50.684,2.304,-291.193,-13.235
6332,1743738062548198,249.892,11.360,35.554,1.616,-285.468,-12.977
6333,1743738062548202,258.694,11.758,20.338,0.924,-279.033,-12.686
6334,1743738062548205,266.873,12.132,5.101,0.231,-271.952,-12.363
