Seqno,RecvTime,U1,I1,U2,I2,U3,I3
138,1743738062355316,-310.756,-14.127,168.603,7.661,142.153,6.461
139,1743738062355322,-309.637,-14.076,181.215,8.239,128.400,5.837
140,1743738062355328,-307.765,-13.988,193.418,8.793,114.346,5.195
141,1743738062355350,-305.139,-13.873,205.148,9.324,100.013,4.544
142,1743738062355356,-301.803,-13.720,216.361,9.836,85.442,3.884
143,1743738062355361,-297.735,-13.531,227.079,10.321,70.657,3.210
144,1743738062355367,-292.936,-13.314,237.237,10.783,55.699,2.531
145,1743738062355374,-287.448,-13.064,246.836,11.222,40.612,1.847
146,1743738062355379,-281.249,-12.783,255.832,11.628,25.417,1.155
147,1743738062355384,-274.384,-12.473,264.204,12.012,10.180,0.462
148,1743738062355389,-266.873,-12.132,271.952,12.363,-5.101,-0.231
149,1743738062355394,-258.694,-11.758,279.033,12.686,-20.338,-0.924
150,1743738062355399,-249.892,-11.360,285.468,12.977,-35.554,-1.616
151,1743738062355403,-240.508,-10.931,291.193,13.235,-50.684,-2.304
152,1743738062355408,-230.522,-10.478,296.207,13.466,-65.685,-2.983
153,1743738062355413,-219.998,-9.998,300.533,13.660,-80.535,-3.662
154,1743738062355419,-208.936,-9.499,304.106,13.822,-95.170,-4.327
155,1743738062355423,-197.378,-8.973,306.968,13.951,-109.590,-4.983
156,1743738062355428,-185.347,-8.423,309.099,14.048,-123.752,-5.625
157,1743738062355441,-172.843,-7.855,310.455,14.113,-137.612,-6.253
158,1743738062355457,-159.952,-7.269,311.079,14.141,-151.127,-6.872
159,1743738062355462,-146.672,-6.668,310.950,14.136,-164.299,-7.467
160,1743738062355467,-133.027,-6.045,310.089,14.094,-177.061,-8.049
161,1743738062355472,-119.060,-5.412,308.475,14.020,-189.394,-8.608
162,1743738062355476,-104.812,-4.766,306.107,13.914,-201.295,-9.148
163,1743738062355480,-90.306,-4.105,303.008,13.771,-212.680,-9.666
164,1743738062355485,-75.607,-3.436,299.177,13.600,-223.571,-10.164
165,1743738062355489,-60.692,-2.757,294.615,13.392,-233.923,-10.631
166,1743738062355494,-45.648,-2.074,289.363,13.152,-243.694,-11.079
167,1743738062355498,-30.497,-1.385,283.402,12.880,-252.905,-11.494
168,1743738062355503,-15.259,-0.693,276.751,12.580,-261.492,-11.887
169,1743738062355507,0.000,0.000,269.434,12.247,-269.434,-12.247
170,1743738062355512,15.259,0.693,261.492,11.887,-276.751,-12.580
171,1743738062355517,30.497,1.385,252.905,11.494,-283.402,-12.880
172,1743738062355522,45.648,2.074,243.694,11.079,-289.363,-13.152
173,1743738062355526,60.692,2.757,233.923,10.631,-294.615,-13.392
174,1743738062355531,75.607,3.436,223.571,10.164,-299.177,-13.600
175,1743738062355536,90.306,4.105,212.680,9.666,-303.008,-13.771
176,1743738062355540,104.812,4.766,201.295,9.148,-306.107,-13.914
177,1743738062355545,119.060,5.412,189.394,8.608,-308.475,-14.020
178,1743738062355549,133.027,6.045,177.061,8.049,-310.089,-14.094
179,1743738062355555,146.672,6.668,164.299,7.467,-310.950,-14.136
180,1743738062355559,159.952,7.269,151.127,6.872,-311.079,-14.141
181,1743738062355564,172.843,7.855,137.612,6.253,-310.455,-14.113
182,1743738062355568,185.347,8.423,123.752,5.625,-309.099,-14.048
183,1743738062355574,197.378,8.973,109.590,4.983,-306.968,-13.951
184,1743738062355596,208.936,9.499,95.170,4.327,-304.106,-13.822
185,1743738062355601,219.998,9.998,80.535,3.662,-300.533,-13.660
186,1743738062355632,230.522,10.478,65.685,2.983,-296.207,-13.466
187,1743738062355638,240.508,10.931,50.684,2.304,-291.193,-13.235
188,1743738062355643,249.892,11.360,35.554,1.616,-285.468,-12.977
189,1743738062355649,258.694,11.758,20.338,0.924,-279.033,-12.686
190,1743738062355654,266.873,12.132,5.101,0.231,-271.952,-12.363
191,1743738062355660,274.384,12.473,-10.180,-0.462,-264.204,-12.012
192,1743738062355665,281.249,12.783,-25.417,-1.155,-255.832,-11.628
193,1743738062355671,287.448,13.064,-40.612,-1.847,-246.836,-11.222
194,1743738062355676,292.936,13.314,-55.699,-2.531,-237.237,-10.783
195,1743738062355681,297.735,13.531,-70.657,-3.210,-227.079,-10.321
196,1743738062355687,301.803,13.720,-85.442,-3.884,-216.361,-9.836
197,1743738062355692,305.139,13.873,-100.013,-4.544,-205.148,-9.324
198,1743738062355698,307.765,13.988,-114.346,-5.195,-193.418,-8.793
199,1743738062355703,309.637,14.076,-128.400,-5.837,-181.215,-8.239
200,1743738062355710,310.756,14.127,-142.153,-6.461,-168.603,-7.661
201,1743738062355716,311.122,14.141,-155.561,-7.070,-155.561,-7.070
202,1743738062355721,310.756,14.127,-168.603,-7.661,-142.153,-6.461
203,1743738062355726,309.637,14.076,-181.215,-8.239,-128.400,-5.837
204,1743738062355731,307.765,13.988,-193.418,-8.793,-114.346,-5.195
205,1743738062355737,305.139,13.873,-205.148,-9.324,-100.013,-4.544
206,1743738062355742,301.803,13.720,-216.361,-9.836,-85.442,-3.884
207,1743738062355750,297.735,13.531,-227.079,-10.321,-70.657,-3.210
208,1743738062355756,292.936,13.314,-237.237,-10.783,-55.699,-2.531
209,1743738062355761,287.448,13.064,-246.836,-11.222,-40.612,-1.847
210,1743738062355766,281.249,12.783,-255.832,-11.628,-25.417,-1.155
211,1743738062355772,274.384,12.473,-264.204,-12.012,-10.180,-0.462
212,1743738062355778,266.873,12.132,-271.952,-12.363,5.101,0.231
213,1743738062355783,258.694,11.758,-279.033,-12.686,20.338,0.924
214,1743738062355788,249.892,11.360,-285.468,-12.977,35.554,1.616
215,1743738062355794,240.508,10.931,-291.193,-13.235,50.684,2.304
216,1743738062355800,230.522,10.478,-296.207,-13.466,65.685,2.983
217,1743738062355805,219.998,9.998,-300.533,-13.660,80.535,3.662
218,1743738062355810,208.936,9.499,-304.106,-13.822,95.170,4.327
219,1743738062355815,197.378,8.973,-306.968,-13.951,109.590,4.983
220,1743738062355820,185.347,8.423,-309.099,-14.048,123.752,5.625
221,1743738062355826,172.843,7.855,-310.455,-14.113,137.612,6.253
222,1743738062355831,159.952,7.269,-311.079,-14.141,151.127,6.872
223,1743738062355836,146.672,6.668,-310.950,-14.136,164.299,7.467
224,1743738062355841,133.027,6.045,-310.089,-14.094,177.061,8.049
225,1743738062355847,119.060,5.412,-308.475,-14.020,189.394,8.608
226,1743738062355852,104.812,4.766,-306.107,-13.914,201.295,9.148
227,1743738062355857,90.306,4.105,-303.008,-13.771,212.680,9.666
228,1743738062355862,75.607,3.436,-299.177,-13.600,223.571,10.164
229,1743738062355868,60.692,2.757,-294.615,-13.392,233.923,10.631
230,1743738062355873,45.648,2.074,-289.363,-13.152,243.694,11.079
231,1743738062355879,30.497,1.385,-283.402,-12.880,252.905,11.494
232,1743738062355884,15.259,0.693,-276.751,-12.580,261.492,11.887
233,1743738062355890,0.000,0.000,-269.434,-12.247,269.434,12.247
234,1743738062355895,-15.259,-0.693,-261.492,-11.887,276.751,12.580
235,1743738062355901,-30.497,-1.385,-252.905,-11.494,283.402,12.880
236,1743738062355906,-45.648,-2.074,-243.694,-11.079,289.363,13.152
237,1743738062355912,-60.692,-2.757,-233.923,-10.631,294.615,13.392
238,1743738062355919,-75.607,-3.436,-223.571,-10.164,299.177,13.600
239,1743738062355925,-90.306,-4.105,-212.680,-9.666,303.008,13.771
240,1743738062355931,-104.812,-4.766,-201.295,-9.148,306.107,13.914
241,1743738062355936,-119.060,-5.412,-189.394,-8.608,308.475,14.020
242,1743738062355941,-133.027,-6.045,-177.061,-8.049,310.089,14.094
243,1743738062355946,-146.672,-6.668,-164.299,-7.467,310.950,14.136
244,1743738062355952,-159.952,-7.269,-151.127,-6.872,311.079,14.141
245,1743738062355957,-172.843,-7.855,-137.612,-6.253,310.455,14.113
246,1743738062355962,-185.347,-8.423,-123.752,-5.625,309.099,14.048
247,1743738062355983,-197.378,-8.973,-109.590,-4.983,306.968,13.951
248,1743738062355989,-208.936,-9.499,-95.170,-4.327,304.106,13.822
249,1743738062355994,-219.998,-9.998,-80.535,-3.662,300.533,13.660
250,1743738062355999,-230.522,-10.478,-65.685,-2.983,296.207,13.466
251,1743738062356021,-240.508,-10.931,-50.684,-2.304,291.193,13.235
252,1743738062356026,-249.892,-11.360,-35.554,-1.616,285.468,12.977
253,1743738062356031,-258.694,-11.758,-20.338,-0.924,279.033,12.686
254,1743738062356036,-266.873,-12.132,-5.101,-0.231,271.952,12.363
255,1743738062356041,-274.384,-12.473,10.180,0.462,264.204,12.012
256,1743738062356045,-281.249,-12.783,25.417,1.155,255.832,11.628
257,1743738062356050,-287.448,-13.064,40.612,1.847,246.836,11.222
258,1743738062356055,-292.936,-13.314,55.699,2.531,237.237,10.783
259,1743738062356060,-297.735,-13.531,70.657,3.210,227.079,10.321
260,1743738062356065,-301.803,-13.720,85.442,3.884,216.361,9.836
261,1743738062356070,-305.139,-13.873,100.013,4.544,205.148,9.324
262,1743738062356075,-307.765,-13.988,114.346,5.195,193.418,8.793
263,1743738062356080,-309.637,-14.076,128.400,5.837,181.215,8.239
264,1743738062356085,-310.756,-14.127,142.153,6.461,168.603,7.661
265,1743738062356090,-311.122,-14.141,155.561,7.070,155.561,7.070
266,1743738062356095,-310.756,-14.127,168.603,7.661,142.153,6.461
267,1743738062356100,-309.637,-14.076,181.215,8.239,128.400,5.837
268,1743738062356105,-307.765,-13.988,193.418,8.793,114.346,5.195
269,1743738062356111,-305.139,-13.873,205.148,9.324,100.013,4.544
270,1743738062356116,-301.803,-13.720,216.361,9.836,85.442,3.884
271,1743738062356121,-297.735,-13.531,227.079,10.321,70.657,3.210
272,1743738062356127,-292.936,-13.314,237.237,10.783,55.699,2.531
273,1743738062356132,-287.448,-13.064,246.836,11.222,40.612,1.847
274,1743738062356137,-281.249,-12.783,255.832,11.628,25.417,1.155
275,1743738062356143,-274.384,-12.473,264.204,12.012,10.180,0.462
276,1743738062356148,-266.873,-12.132,271.952,12.363,-5.101,-0.231
277,1743738062356153,-258.694,-11.758,279.033,12.686,-20.338,-0.924
278,1743738062356159,-249.892,-11.360,285.468,12.977,-35.554,-1.616
279,1743738062356164,-240.508,-10.931,291.193,13.235,-50.684,-2.304
280,1743738062356170,-230.522,-10.478,296.207,13.466,-65.685,-2.983
281,1743738062356192,-219.998,-9.998,300.533,13.660,-80.535,-3.662
282,1743738062356197,-208.936,-9.499,304.106,13.822,-95.170,-4.327
283,1743738062356202,-197.378,-8.973,306.968,13.951,-109.590,-4.983
284,1743738062356208,-185.347,-8.423,309.099,14.048,-123.752,-5.625
285,1743738062356213,-172.843,-7.855,310.455,14.113,-137.612,-6.253
286,1743738062356218,-159.952,-7.269,311.079,14.141,-151.127,-6.872
287,1743738062356224,-146.672,-6.668,310.950,14.136,-164.299,-7.467
288,1743738062356229,-133.027,-6.045,310.089,14.094,-177.061,-8.049
